Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-06-15;.2;21.9;15.6;11.1;86.5;67;9.1;2.3;
2014-06-16;0;21.1;16.9;14.3;89.4;79;8.3;2.5;
2014-06-17;2.2;16.9;14;12.6;94.2;83;6.2;1.6;
2014-06-18;.2;13;9.7;8.4;77.2;48;7.4;2.1;
2014-06-19;0;11.8;6.1;1.1;79.3;59;5.5;1.4;
2014-06-20;.2;14.3;6.9;1.1;89;66;7.5;1.5;
2014-06-21;.2;15.7;9.6;4.8;88.2;68;8.5;2.2;
2014-06-22;0;19.5;13.7;6.6;75.1;58;11.7;3.8;
2014-06-23;13.2;17.5;14.5;11.6;91.4;66;11.9;3.3;
2014-06-24;7.8;19.4;16.6;13.6;89.4;83;7.5;2.3;
2014-06-25;36;18.9;16.8;16.1;90.4;77;12.2;4.1;
2014-06-26;17.4;17.6;16.3;15.1;93.7;90;11;2.1;
2014-06-27;8;null;null;14.1;null;92;5.5;null;
2014-06-28;null;null;null;null;null;93;8;null;
2014-06-29;null;16.1;null;14.7;90.8;85;14.8;5.6;
2014-06-30;27.8;11.5;10.6;9.8;96.5;93;12.6;4.4;
2014-07-01;null;14.8;null;9.9;84.9;68;7.5;null;
2014-07-02;0;18.4;11.7;6.5;79.3;40;7.2;2.7;
2014-07-03;10;19.7;16.6;8.3;86.7;72;9.3;3;
2014-07-04;11.6;23.1;19.7;15.2;80.6;69;9.7;3.7;
2014-07-05;0;25.9;21.3;17.4;67.5;52;12;4.9;
2014-07-06;0;23;17.4;16.2;80.6;57;13.5;3.9;
2014-07-07;5.2;13.9;9.6;5.7;81.7;60;9.2;1.5;
2014-07-08;0;16.5;9.5;3.5;76.5;42;6;1.3;
2014-07-09;0;18.7;13.1;8.5;83.3;67;8.8;2.1;
2014-07-10;0;17.2;13.2;11.3;88.8;75;7.9;2.1;
2014-07-11;0;18.8;14;10.9;79.8;55;10.2;3.3;
2014-07-12;0;18.9;14.3;10.9;77.7;62;11.5;4;
2014-07-13;0;21;16.3;12.5;73.8;55;12.4;4.3;
2014-07-14;0;22;16.6;12.9;75.8;59;11.5;3.6;
2014-07-15;0;21;16.3;13.3;72;54;11.4;4.5;
2014-07-16;0;22.7;17.3;13.6;75.5;60;12.8;3.5;
2014-07-17;0;20;15;14.1;86.8;68;11.1;3.5;
2014-07-18;35.6;15.4;11.2;8.3;89;73;16.7;3.8;
2014-07-19;.6;14.5;8.8;4;86;61;4.5;1.3;
2014-07-20;.2;18.2;10.5;4.5;77.3;44;6.1;2.2;
2014-07-21;0;20.7;13.4;5.6;69.5;47;8.8;3.3;
2014-07-22;0;22.7;15.8;9.8;64.1;40;12.9;4.8;
2014-07-23;9.2;20.9;16.5;12.1;82.3;50;16.2;4.6;
2014-07-24;50.8;17.4;11.3;10;95.7;83;11.9;3.5;
2014-07-25;11.6;10.4;6.2;3.4;84.4;55;9.2;2.1;
2014-07-26;.2;12.1;6;1.9;84.7;48;6.1;1.8;
2014-07-27;.2;14.7;7.4;.9;75.7;28;7.8;1.8;
2014-07-28;0;18.3;11.8;2.3;74.2;54;9;3.2;
2014-07-29;0;19.7;14.8;10.5;75;58;13.3;4.8;
2014-07-30;0;16.8;14.8;13.1;80.6;71;12;3.4;
2014-07-31;.4;20.2;16.6;14.1;81.3;67;8.6;3.2;
2014-08-01;0;22.1;17;14.8;81.6;63;11.7;3.5;
2014-08-02;13.8;24.8;18.7;14.2;76.4;56;8.2;3;
2014-08-03;0;26;21.9;16.8;59.1;48;13.9;4.8;
2014-08-04;5;22.3;14.4;10.6;77.4;53;13.7;2.9;
2014-08-05;14.6;18;9.8;3.3;72;33;6.4;2.3;
2014-08-06;0;23.1;15.2;4.7;54.5;39;13.5;4.6;
2014-08-07;0;21.1;15.2;11.8;71.7;48;10.9;4.1;
2014-08-08;6.6;13.6;9.5;6.5;74.9;51;7.6;2.3;
2014-08-09;0;19;12;5.9;82.4;67;8.4;2.4;
2014-08-10;1.6;22.3;17.7;11.4;83.3;67;10.1;3.6;
2014-08-11;0;24.8;18.6;14.3;71.2;46;7.4;2.6;
2014-08-12;16;17.5;13.6;14.7;95.8;78;8;1.8;
2014-08-13;1.8;10.4;7.2;4.2;70.2;26;9.8;2.5;
2014-08-14;.2;17.2;6.5;-1.4;62.6;20;5.6;1.9;
2014-08-15;0;18.8;11.3;2.4;69.2;50;9.1;3.4;
2014-08-16;1.6;18.4;15;8.9;85;69;11.1;3.1;
2014-08-17;0;23.4;16.3;12.8;82.8;55;5.8;1.8;
2014-08-18;0;21.6;14.8;11.7;88.7;48;4.9;1.7;
2014-08-19;.2;24.2;16.5;10.4;80.2;48;6.7;2.2;
2014-08-20;.2;25.4;18.2;11.8;73.7;44;7.4;2.3;
2014-08-21;0;25.1;18.8;13.1;54.9;26;10;2.8;
2014-08-22;0;27.7;20;14.1;56.5;35;7.9;2.8;
2014-08-23;0;28.4;22.1;16.8;56.7;35;11.6;4;
2014-08-24;0;29;23.7;19;50.9;29;16.2;4.8;
2014-08-25;2.8;25.7;17;17.6;71.9;39;12.5;3.7;
2014-08-26;13.2;13.9;8.9;5.6;76.2;54;14;4.9;
2014-08-27;0;14.2;8.1;3.4;67.5;37;9.1;2.8;
2014-08-28;0;15.2;8.7;3.8;71.2;40;8.2;1.8;
2014-08-29;0;21.4;12.2;6.5;70.8;35;10.6;2.7;
2014-08-30;0;25.2;16.7;10.6;70;42;7.7;2.5;
2014-08-31;36;21;17.6;13.7;87.7;63;21.7;3.2;
2014-09-01;0;23.2;18.1;15.1;79.4;41;6.9;1.7;
2014-09-02;.2;17.4;14.3;10.8;90;70;15.4;3.8;
2014-09-03;27;20.4;15.6;12.9;84.8;60;9.3;2.5;
2014-09-04;0;21.6;16;12.6;69;51;13;4.9;
2014-09-05;0;19.4;15.9;13.9;70.6;61;16.5;5.4;
2014-09-06;0;22.3;15.7;13.9;78.8;53;15;5.1;
2014-09-07;35.4;20.9;16;14;86.7;66;16.4;1.5;
2014-09-08;.2;26.3;19.2;13.9;78.6;41;9.2;2.3;
2014-09-09;0;29.3;22.7;17.6;62.5;35;13.4;5.1;
2014-09-10;0;26.2;19.9;20.6;66;41;12.7;3.7;
2014-09-11;35;12.4;11.2;10.4;94.4;91;10.4;3;
